# BEAST v1.8.0, r5971
# Generated Wed Jan 14 18:33:43 PST 2015 [seed=1421289222306]
state	posterior	A/Arizona/14/1978	A/Brazil/11/1978	A/Lackland/3/1978	A/USSR/90/1977	A/California/45/1978	A/Lackland/7/1978	A/Bayern/7/1995	A/Beijing/262/1995	A/Chile/1/1983	A/Denmark/56/2003	A/Egypt/96/2002	A/England/2/2002	A/HongKong/1252/2000	A/Johannesburg/5/2002	A/Johannesburg/82/1996	A/Latvia/686/2002	A/Madagascar/57794/2000	A/NewCaledonia/20/1999	A/Peru/1621/1999	A/Peru/1798/1999	A/RheinlandPfalz/34/2003	A/Singapore/6/1986	A/Stockholm/13/2002	A/StPetersburg/49/2003	A/Switzerland/3100/2002	A/Taiwan/1/1986	A/Texas/36/1991	A/Bangkok/1544/2004	A/Dakar/88/2003	A/Denmark/22/2005	A/Denmark/3/2005	A/Denmark/86/2003	A/Egypt/136/2005	A/Florida/4/2004	A/HongKong/35/2006	A/HongKong/4580/2004	A/HongKong/4596/2004	A/HongKong/4922/2005	A/HongKong/948/2006	A/Hungary/2/2003	A/Iceland/123/2003	A/Johannesburg/28/2005	A/Johannesburg/452/2005	A/Morocco/275/2004	A/Netherlands/128/2004	A/Poitiers/2168/2003	A/Reunion/1409/2003	A/Shenzhen/227/1995	A/Thessaloniki/24/2005	A/England/333/1980	A/India/6263/1980	A/Annecy/2013/2009	A/Berlin/59/2008	A/Brisbane/59/2007	A/Egypt/10/2007	A/Finland/4/2007	A/Fukushima/141/2006	A/Ghana/2/2008	A/Ghana/9/2008	A/Ghana/152/2008	A/Ghana/163/2008	A/Ghana/FS-09-718/2009	A/Ghana/FS-09-791/2009	A/Gyeonggibuk/4500/2008	A/HongKong/18106/2009	A/HongKong/1856/2008	A/HongKong/1870/2008	A/HongKong/1988/2009	A/HongKong/2652/2006	A/HongKong/3176/2008	A/HongKong/33597/2009	A/HongKong/34079/2009	A/Iceland/8064/2009	A/Iceland/8599/2009	A/Incheon/4532/2008	A/Madagascar/2121/2007	A/Madagascar/6054/2009	A/Madagascar/6081/2009	A/Marrakech/510/2009	A/Marseille/1148/2009	A/Mauritius/403/2008	A/Menya/1386/2009	A/Minsk/179/2008	A/Montpellier/2051/2009	A/Moscow/2/2009	A/Netherlands/345/2007	A/Paraguay/61/2009	A/Paris/577/2007	A/Paris/781/2008	A/Perth/200/2008	A/Rabat/109/2009	A/Seychelles/2239/2008	A/Singapore/10/2009	A/SolomonIslands/3/2006	A/SouthDakota/6/2007	A/StPetersburg/12/2008	A/StPetersburg/5/2008	A/Wisconsin/13/2009	A/Zagreb/1982/2008	A/Siena/10/1989	A/Siena/9/1989	A/HongKong/2387/2007	A/HongKong/2613/2007	A/Incheon/2647/2007	A/Johannesburg/141/2007	A/Johannesburg/67/2007	A/Mauritius/543/2007	A/Pennsylvania/1/2007	A/Peru/1169/2007	A/StPetersburg/10/2007	A/Texas/5/2007	A/Tula/5/2007	A/Ulaanbaatar/116/2007	A/Ulaanbaatar/2212/2007	A/USSR/92/1977
47400000	-4932.985502967788	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	7.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	6.0	4.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
47600000	-4930.522561144958	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
47800000	-4931.208820074371	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	6.0	3.0	3.0	4.0	3.0	4.0	6.0	6.0	4.0	4.0	4.0	2.0	6.0	6.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	5.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
48000000	-4936.009142657194	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	5.0	5.0	4.0	5.0	4.0	6.0	6.0	4.0	4.0	4.0	2.0	6.0	6.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	5.0	5.0	5.0	5.0	4.0	4.0	2.0	3.0	5.0	4.0	2.0	5.0	5.0	0.0
48200000	-4943.337379066095	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	4.0	4.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	4.0	4.0	5.0	4.0	5.0	6.0	6.0	5.0	5.0	5.0	2.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	2.0	4.0	4.0	0.0
48400000	-4954.2804720049235	12.0	0.0	0.0	0.0	0.0	12.0	2.0	4.0	0.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	6.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	0.0	0.0	7.0	7.0	6.0	6.0	6.0	11.0	6.0	7.0	7.0	6.0	7.0	7.0	7.0	9.0	6.0	6.0	7.0	6.0	7.0	8.0	8.0	7.0	7.0	7.0	4.0	10.0	8.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	7.0	7.0	11.0	6.0	6.0	6.0	6.0	6.0	2.0	1.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	11.0	6.0	6.0	5.0	6.0	6.0	0.0
48600000	-4903.495860205163	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	9.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	6.0	3.0	3.0	3.0	8.0	3.0	6.0	6.0	3.0	6.0	6.0	6.0	7.0	3.0	3.0	6.0	3.0	6.0	7.0	7.0	6.0	6.0	6.0	2.0	7.0	7.0	6.0	6.0	6.0	6.0	3.0	6.0	6.0	3.0	6.0	3.0	6.0	5.0	6.0	6.0	6.0	8.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	8.0	3.0	3.0	2.0	3.0	3.0	0.0
48800000	-4953.815915716809	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	9.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	4.0	2.0	2.0	5.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	5.0	5.0	5.0	5.0	8.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	7.0	5.0	5.0	6.0	5.0	5.0	7.0	7.0	6.0	5.0	6.0	2.0	7.0	7.0	6.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0	8.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	8.0	5.0	5.0	4.0	5.0	5.0	0.0
49000000	-4961.839421636629	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	14.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	3.0	3.0	3.0	13.0	3.0	5.0	5.0	3.0	8.0	9.0	5.0	10.0	3.0	3.0	5.0	3.0	7.0	10.0	10.0	5.0	6.0	5.0	2.0	11.0	11.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	5.0	5.0	5.0	13.0	3.0	3.0	3.0	12.0	3.0	1.0	1.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	13.0	3.0	3.0	2.0	3.0	3.0	0.0
49200000	-4943.293149230421	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	1.0	5.0	5.0	4.0	4.0	4.0	8.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	7.0	4.0	4.0	5.0	4.0	5.0	7.0	7.0	5.0	5.0	6.0	3.0	7.0	7.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	8.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	8.0	4.0	4.0	3.0	4.0	4.0	0.0
49400000	-4925.370330243424	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	12.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	1.0	7.0	7.0	5.0	5.0	5.0	11.0	5.0	7.0	7.0	5.0	7.0	7.0	7.0	10.0	5.0	5.0	7.0	5.0	7.0	10.0	10.0	7.0	9.0	7.0	3.0	10.0	10.0	7.0	7.0	8.0	7.0	5.0	7.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	8.0	8.0	11.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	6.0	6.0	6.0	6.0	5.0	5.0	3.0	11.0	5.0	5.0	4.0	6.0	6.0	0.0
49600000	-4933.55754099564	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	3.0	3.0	3.0	3.0	9.0	3.0	3.0	3.0	3.0	6.0	6.0	5.0	8.0	3.0	3.0	6.0	3.0	5.0	7.0	7.0	6.0	3.0	6.0	2.0	7.0	7.0	6.0	3.0	3.0	4.0	3.0	6.0	6.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	9.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	9.0	3.0	3.0	2.0	3.0	3.0	0.0
49800000	-4959.766772064521	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	4.0	4.0	4.0	8.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	7.0	4.0	4.0	5.0	4.0	5.0	7.0	7.0	5.0	5.0	5.0	2.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	8.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	8.0	4.0	4.0	2.0	4.0	4.0	0.0
50000000	-4958.246383592783	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	3.0	3.0	3.0	9.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	6.0	4.0	3.0	5.0	3.0	5.0	6.0	6.0	7.0	5.0	5.0	2.0	6.0	6.0	5.0	5.0	5.0	5.0	8.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	5.0	5.0	5.0	9.0	3.0	3.0	3.0	3.0	8.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	9.0	3.0	3.0	2.0	3.0	3.0	0.0
50200000	-4940.918735591999	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	0.0	0.0	5.0	5.0	4.0	4.0	4.0	8.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	4.0	4.0	5.0	4.0	5.0	6.0	6.0	5.0	5.0	5.0	3.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	8.0	4.0	4.0	4.0	7.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	8.0	4.0	4.0	3.0	4.0	4.0	0.0
50400000	-4950.1973306528525	0.0	0.0	0.0	17.0	0.0	0.0	1.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	16.0	16.0	4.0	2.0	5.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	0.0	0.0	10.0	10.0	7.0	7.0	7.0	15.0	9.0	10.0	10.0	9.0	10.0	10.0	10.0	12.0	8.0	8.0	10.0	7.0	11.0	12.0	12.0	10.0	10.0	10.0	3.0	13.0	13.0	10.0	10.0	10.0	10.0	14.0	10.0	10.0	7.0	10.0	7.0	10.0	7.0	10.0	10.0	10.0	15.0	7.0	7.0	7.0	7.0	14.0	1.0	2.0	8.0	8.0	8.0	8.0	7.0	7.0	6.0	15.0	7.0	7.0	3.0	8.0	8.0	0.0
50600000	-4927.125856400768	0.0	0.0	0.0	0.0	11.0	0.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	1.0	7.0	6.0	4.0	4.0	4.0	10.0	4.0	5.0	5.0	4.0	7.0	7.0	5.0	8.0	4.0	4.0	7.0	4.0	5.0	8.0	9.0	5.0	5.0	5.0	3.0	8.0	8.0	5.0	5.0	5.0	5.0	4.0	7.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	10.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	10.0	4.0	4.0	3.0	4.0	4.0	0.0
50800000	-4944.171054479943	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	5.0	3.0	4.0	4.0	8.0	3.0	5.0	5.0	3.0	7.0	7.0	5.0	6.0	3.0	3.0	7.0	3.0	5.0	6.0	6.0	5.0	5.0	5.0	2.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	6.0	5.0	4.0	5.0	4.0	5.0	3.0	5.0	5.0	5.0	8.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	8.0	3.0	3.0	2.0	3.0	3.0	0.0
51000000	-4966.009368708961	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	6.0	4.0	4.0	4.0	3.0	4.0	6.0	6.0	4.0	6.0	6.0	6.0	9.0	4.0	4.0	6.0	4.0	6.0	9.0	9.0	6.0	8.0	6.0	2.0	9.0	9.0	6.0	7.0	6.0	6.0	4.0	6.0	6.0	4.0	6.0	4.0	6.0	4.0	6.0	6.0	6.0	3.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	5.0	4.0	2.0	4.0	4.0	0.0
51200000	-4979.13737468205	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	6.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	8.0	8.0	4.0	4.0	4.0	2.0	7.0	7.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	9.0	4.0	1.0	1.0	4.0	5.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	2.0	5.0	4.0	0.0
51400000	-4966.304548116777	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	9.0	9.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	5.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	7.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	7.0	7.0	6.0	8.0	6.0	6.0	7.0	6.0	6.0	8.0	8.0	7.0	6.0	7.0	2.0	8.0	8.0	7.0	6.0	6.0	6.0	6.0	7.0	7.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	5.0	6.0	6.0	2.0	6.0	6.0	0.0
51600000	-4941.0368882057	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	10.0	10.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	0.0	0.0	7.0	7.0	4.0	4.0	4.0	4.0	4.0	7.0	7.0	4.0	7.0	7.0	7.0	8.0	4.0	4.0	7.0	4.0	7.0	8.0	9.0	7.0	7.0	7.0	2.0	8.0	8.0	7.0	7.0	7.0	7.0	4.0	7.0	7.0	4.0	7.0	4.0	7.0	4.0	7.0	7.0	7.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	6.0	6.0	6.0	6.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	6.0	6.0	0.0
51800000	-4961.59669156322	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	20.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	18.0	18.0	4.0	1.0	4.0	4.0	4.0	2.0	3.0	7.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	3.0	4.0	0.0	19.0	12.0	14.0	11.0	8.0	8.0	7.0	8.0	12.0	12.0	10.0	12.0	12.0	12.0	16.0	8.0	8.0	12.0	8.0	12.0	16.0	16.0	12.0	12.0	12.0	4.0	16.0	16.0	12.0	12.0	12.0	12.0	8.0	12.0	12.0	8.0	14.0	8.0	12.0	8.0	15.0	13.0	12.0	7.0	8.0	8.0	8.0	17.0	8.0	1.0	1.0	8.0	8.0	8.0	8.0	8.0	8.0	4.0	7.0	8.0	8.0	4.0	8.0	9.0	0.0
52000000	-4989.477343651795	0.0	0.0	0.0	12.0	0.0	0.0	2.0	3.0	0.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	11.0	11.0	3.0	1.0	3.0	5.0	3.0	1.0	2.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	0.0	9.0	9.0	6.0	6.0	6.0	6.0	6.0	9.0	9.0	6.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	8.0	9.0	9.0	9.0	9.0	10.0	9.0	3.0	9.0	9.0	9.0	9.0	10.0	9.0	6.0	9.0	9.0	6.0	9.0	6.0	9.0	6.0	9.0	10.0	10.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	8.0	8.0	8.0	8.0	6.0	6.0	3.0	6.0	8.0	6.0	3.0	8.0	8.0	0.0
52200000	-4948.538244157124	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	7.0	5.0	3.0	5.0	5.0	5.0	8.0	4.0	3.0	5.0	3.0	5.0	8.0	8.0	5.0	6.0	5.0	2.0	9.0	9.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
52400000	-4907.39179194973	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	7.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	7.0	3.0	3.0	3.0	3.0	6.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	7.0	3.0	3.0	2.0	3.0	3.0	0.0
